Duration,Backend,Method
10.516187733000152,NumPy,fit
10.517151113999716,NumPy,fit
10.492884919999597,NumPy,fit
10.54027571700044,NumPy,fit
10.29059758800031,NumPy,fit
10.465045095999812,NumPy,fit
10.496740431000035,NumPy,fit
10.476105129000644,NumPy,fit
10.603008382000553,NumPy,fit
10.50459001299987,NumPy,fit
0.06625195600008738,NumPy,predict
0.05633547100023861,NumPy,predict
0.07885743699989689,NumPy,predict
0.051483326999914425,NumPy,predict
0.051505837999684445,NumPy,predict
0.07913585200003581,NumPy,predict
0.05169581200061657,NumPy,predict
0.051683900999705656,NumPy,predict
0.05149076699944999,NumPy,predict
0.05165315100020962,NumPy,predict
2.1182146410001224,PyTorch CPU,fit
2.0594991859998117,PyTorch CPU,fit
2.06829082799959,PyTorch CPU,fit
2.0687498499992216,PyTorch CPU,fit
2.0757765140006086,PyTorch CPU,fit
2.068107881999822,PyTorch CPU,fit
2.060510852000334,PyTorch CPU,fit
2.078717444999711,PyTorch CPU,fit
2.078607035999994,PyTorch CPU,fit
2.086645089999365,PyTorch CPU,fit
0.04787013199984358,PyTorch CPU,predict
0.044832488999418274,PyTorch CPU,predict
0.04440974899989669,PyTorch CPU,predict
0.044075063000491355,PyTorch CPU,predict
0.04418315399925632,PyTorch CPU,predict
0.04408434299966757,PyTorch CPU,predict
0.0439288999996279,PyTorch CPU,predict
0.043820107000101416,PyTorch CPU,predict
0.04397405100007745,PyTorch CPU,predict
0.04404068199983158,PyTorch CPU,predict
0.15058664900061558,PyTorch CUDA,fit
0.1458528760003901,PyTorch CUDA,fit
0.1445078149999972,PyTorch CUDA,fit
0.1443917610004064,PyTorch CUDA,fit
0.1443452920002528,PyTorch CUDA,fit
0.14348666000023513,PyTorch CUDA,fit
0.14433038900006068,PyTorch CUDA,fit
0.14445565400001215,PyTorch CUDA,fit
0.14432643899999675,PyTorch CUDA,fit
0.14380039700063207,PyTorch CUDA,fit
0.0016493680004714406,PyTorch CUDA,predict
0.001566537000144308,PyTorch CUDA,predict
0.0015530959999523475,PyTorch CUDA,predict
0.001557116999720165,PyTorch CUDA,predict
0.0015552459999526036,PyTorch CUDA,predict
0.001555627000016102,PyTorch CUDA,predict
0.001559995999741659,PyTorch CUDA,predict
0.0015527770001426688,PyTorch CUDA,predict
0.001552525999613863,PyTorch CUDA,predict
0.0015568170001643011,PyTorch CUDA,predict
1.1028036239999892,CuPy,fit
0.9749162529999467,CuPy,fit
0.9745569199999977,CuPy,fit
0.9781964599999924,CuPy,fit
0.9788154940000027,CuPy,fit
0.9781140499999879,CuPy,fit
0.9780410449999977,CuPy,fit
0.9781301799999937,CuPy,fit
0.9780059139999935,CuPy,fit
0.9788264559999789,CuPy,fit
0.003597356000000218,CuPy,predict
0.003332068000020172,CuPy,predict
0.003292497999950683,CuPy,predict
0.003332806999992499,CuPy,predict
0.0032771080000202346,CuPy,predict
0.0033315880000373,CuPy,predict
0.0032843889999867315,CuPy,predict
0.003280116999974325,CuPy,predict
0.0032904880000046433,CuPy,predict
0.003273288999992019,CuPy,predict
